10                                                         
10000     Doorman Elevator Fitness_Center Cats_Allowed D...
100004    Laundry_In_Building Dishwasher Hardwood_Floors...
100007                               Hardwood_Floors No_Fee
100013                                              Pre-War
Name: features, dtype: object
((49352, 217), (74659, 217))
[0]	train-mlogloss:1.07834	test-mlogloss:1.07879
Multiple eval metrics have been passed: 'test-mlogloss' will be used for early stopping.

Will train until test-mlogloss hasn't improved in 20 rounds.
[1]	train-mlogloss:1.05869	test-mlogloss:1.05952
[2]	train-mlogloss:1.04	test-mlogloss:1.04122
[3]	train-mlogloss:1.0228	test-mlogloss:1.02451
[4]	train-mlogloss:1.00618	test-mlogloss:1.00829
[5]	train-mlogloss:0.989997	test-mlogloss:0.992649
[6]	train-mlogloss:0.974814	test-mlogloss:0.977964
[7]	train-mlogloss:0.960246	test-mlogloss:0.963842
[8]	train-mlogloss:0.946442	test-mlogloss:0.950403
[9]	train-mlogloss:0.93346	test-mlogloss:0.937802
[10]	train-mlogloss:0.920291	test-mlogloss:0.925106
[11]	train-mlogloss:0.908432	test-mlogloss:0.91365
[12]	train-mlogloss:0.896781	test-mlogloss:0.902439
[13]	train-mlogloss:0.885595	test-mlogloss:0.891641
[14]	train-mlogloss:0.874973	test-mlogloss:0.881351
[15]	train-mlogloss:0.864294	test-mlogloss:0.871008
[16]	train-mlogloss:0.854771	test-mlogloss:0.861849
[17]	train-mlogloss:0.84488	test-mlogloss:0.852347
[18]	train-mlogloss:0.835239	test-mlogloss:0.843157
[19]	train-mlogloss:0.826503	test-mlogloss:0.834773
[20]	train-mlogloss:0.817743	test-mlogloss:0.826385
[21]	train-mlogloss:0.809572	test-mlogloss:0.818524
[22]	train-mlogloss:0.80149	test-mlogloss:0.810826
[23]	train-mlogloss:0.793515	test-mlogloss:0.80314
[24]	train-mlogloss:0.786147	test-mlogloss:0.796166
[25]	train-mlogloss:0.779093	test-mlogloss:0.789436
[26]	train-mlogloss:0.772206	test-mlogloss:0.782906
[27]	train-mlogloss:0.76538	test-mlogloss:0.776434
[28]	train-mlogloss:0.7589	test-mlogloss:0.770234
[29]	train-mlogloss:0.752412	test-mlogloss:0.764114
[30]	train-mlogloss:0.746081	test-mlogloss:0.758111
